item,correct_strict_v1,correct_strict_v2_display_primary,span_entropy,perception_entropy,model_span,truth_span,model_span_norm,truth_span_norm,model_label,truth_label,model_tier,truth_tier,is_mcq,sympy_match,sympy_partial_parse_risk,sympy_malformed_derivative,multi_answer_collapse,mcq_option,tiny_valid_mcq,tiny_suspicious_non_mcq,multi_value_answer,set_answer,system_answer,derivative_equation,text_conclusion,rules_disagree,priority,final_label,confidence,note
51,True,True,0.5004024235381879,0.5004024235381879,option d,option d,option d,option d,text:option d,text:option d,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
69,True,True,0.0,0.0,option d,option d,option d,option d,text:option d,text:option d,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
78,True,True,1.3321790402101223,1.3321790402101223,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
79,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
85,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
86,True,True,0.5004024235381879,0.5004024235381879,option a,option a,option a,option a,text:option a,text:option a,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
93,False,False,1.3321790402101223,1.3321790402101223,2520 + 20 = 2540,option d,2520+20=2540,option d,text:2520 + 20 = 2540,text:option d,display_math,option,True,False,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
96,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
122,True,True,0.0,0.0,option c,option c,option c,option c,text:option c,text:option c,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
128,True,True,0.0,0.0,option d,option d,option d,option d,text:option d,text:option d,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
134,True,True,0.0,0.0,option a,option a,option a,option a,text:option a,text:option a,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
139,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
141,True,True,0.0,0.0,option d,option d,option d,option d,text:option d,text:option d,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
143,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
146,True,True,0.9502705392332347,0.9502705392332347,option c,option c,option c,option c,text:option c,text:option c,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
153,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
154,True,True,0.5004024235381879,0.5004024235381879,option c,option c,option c,option c,text:option c,text:option c,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
173,False,False,0.5004024235381879,0.5004024235381879,2x = 10,option d,2x=10,option d,"sympy:eq(2*x, 10)",text:option d,display_math,option,True,False,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
178,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
195,True,True,0.0,0.0,R,R,r,r,sympy:r,sympy:r,display_math,display_math,True,True,False,False,False,False,True,False,False,False,False,False,False,False,low,,,
196,True,True,0.5004024235381879,0.5004024235381879,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
201,True,True,0.6730116670092565,0.6730116670092565,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
205,True,True,0.9502705392332347,0.9502705392332347,option c,option c,option c,option c,text:option c,text:option c,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
213,True,True,0.0,0.0,option c,option c,option c,option c,text:option c,text:option c,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
214,True,True,0.0,0.0,option a,option a,option a,option a,text:option a,text:option a,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
218,False,False,0.0,0.0,option a,\text{A},option a,a,text:option a,sympy:a,option,display_math,True,False,False,False,False,True,True,False,False,False,False,False,False,False,low,,,
226,True,True,0.5004024235381879,0.5004024235381879,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
233,True,True,0.0,0.0,option a,option a,option a,option a,text:option a,text:option a,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
237,False,False,0.6730116670092565,0.6730116670092565,"x = 3, -3",(b),"x=3,-3",(b),"sympy:eq(x, 3)",sympy:b,display_math,display_math,True,False,False,False,False,True,True,False,False,False,False,False,False,False,low,,,
247,True,True,0.0,0.0,option d,option d,option d,option d,text:option d,text:option d,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
252,True,True,0.5004024235381879,0.5004024235381879,option c,option c,option c,option c,text:option c,text:option c,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
261,True,True,0.9502705392332347,0.9502705392332347,option c,option c,option c,option c,text:option c,text:option c,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
266,True,True,0.6730116670092565,0.6730116670092565,option d,option d,option d,option d,text:option d,text:option d,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
267,True,True,0.5004024235381879,0.5004024235381879,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
268,True,True,0.5004024235381879,0.5004024235381879,option a,option a,option a,option a,text:option a,text:option a,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
270,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
283,True,True,0.5004024235381879,0.5004024235381879,option c,option c,option c,option c,text:option c,text:option c,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
286,True,True,0.9502705392332347,0.9502705392332347,option c,option c,option c,option c,text:option c,text:option c,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
292,True,True,0.5004024235381879,0.5004024235381879,option d,option d,option d,option d,text:option d,text:option d,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
